Route ID,Direction,Route Length (miles),Stops per Mile,Mean Stop Spacing (ft),Stop Spacing Std Dev (ft),% Bus Lane Coverage,Stop Signs per Mile,Street Lights per Mile,Right Angle Turns,Curvature per Mile,Borough,Type
B1,N,6.775861769837902,7.083969778378212,761.1984840642399,338.9715895603468,1.5146251074675148,0.2951654074324255,10.330789260134893,11.0,88.22356319075328,Brooklyn,Local
B1,S,6.784946964155086,7.369254360299394,731.1086844752529,313.22493012276334,0.0,1.3264657848538908,10.759111366037114,11.0,88.22356319075328,Brooklyn,Local
B102,N,4.973521013970913,2.0106479839754194,2917.796761853519,1651.5516623276546,0.0,0.4021295967950838,11.058563911864807,20.0,243.29785527961835,Brooklyn,Local
B102,S,4.167510990869941,2.1595623910091497,2750.529790594728,1953.5151923910985,0.0,0.2399513767787944,11.037763331824545,20.0,243.29785527961835,Brooklyn,Local
B103,E,11.99577158941551,3.1677828905586503,1711.8281198871096,1630.4705323956473,6.002073400376367,0.6669016611702422,9.503348671675951,26.0,130.21585684643077,Brooklyn,Local
B103,W,11.460093043530351,3.2285950785441373,1680.813646384452,2008.7504223584635,6.311253194972845,0.6980746115771107,9.68578523563241,26.0,130.21585684643077,Brooklyn,Local
B106,N,2.082717905178604,1.4404255096384426,5498.248965160571,5814.999230427229,0.298461952877559,0.4801418365461475,4.801418365461475,2.0,52.514965384997225,Brooklyn,Local
B106,S,1.9864107616059308,1.5102616528187878,5244.086076061739,5920.469318423694,0.3129123873854562,0.5034205509395959,5.034205509395959,2.0,52.514965384997225,Brooklyn,Local
B11,E,5.50609882942268,7.264671637612804,745.4410722910706,197.2062114343815,0.6089895293218891,0.3632335818806402,11.078624247359526,26.0,213.9317396918215,Brooklyn,Local
B111,N,3.5505716685900035,1.6898687197554043,3749.377019720419,769.2298550329594,0.1940326641220887,1.6898687197554043,10.420857105158328,19.0,338.234912992867,Brooklyn,Local
B111,S,3.134292003321794,1.9143079182287623,3309.776495721261,768.4216524447008,0.6733783359578965,1.9143079182287623,8.295334312324636,19.0,338.234912992867,Brooklyn,Local
B12,E,4.310741735602174,7.42331644127826,734.2122907480046,415.451270101256,0.43274807917142,0.2319786387899456,12.294867855867118,13.0,184.4915343350666,Brooklyn,Local
B12,W,4.32043832273154,6.712281910707879,814.7112265722333,466.83059140862105,0.431778511189873,0.2314579969209613,12.498731833731911,13.0,184.4915343350666,Brooklyn,Local
B14,E,5.156359954466863,8.727086626490708,618.7584105278827,182.69213479262257,0.1205431038766827,1.7454173252981418,9.30889240159009,22.0,220.11732706814104,Brooklyn,Local
B14,W,5.279400175162748,8.334280134133536,648.256477125091,330.7912454148867,0.1177586792007141,1.515323660751552,8.713111049321423,22.0,220.11732706814104,Brooklyn,Local
B2,E,2.684861583251129,8.194090949508077,675.0509123602839,350.8408352194082,0.0,0.7449173590461887,9.683925667600452,14.0,241.9499657222396,Brooklyn,Local
B2,W,2.4839076000582607,8.051829302962354,690.2596469481302,230.11063611340228,8.240329408740022,1.2077743954443532,9.259603698406709,14.0,241.9499657222396,Brooklyn,Local
